Date,Air_Temp,Humidity,Wind_Speed,Wind_Direction
2022-04-30,7.5,52.5,15.7,112.8
2022-05-01,9.8,47.3,16,204.8
2022-05-02,9.6,49.5,8.4,33.4
2022-05-03,11.5,50.1,10.1,241.3
2022-05-04,13.8,37.1,12.3,231.8
2022-05-05,13.9,45.3,13.9,220.2
2022-05-06,12.7,28.2,24.9,289.6
2022-05-07,8.5,43.3,14.8,7.2
2022-05-08,4.7,71.2,13.5,282.9
2022-05-09,3.6,74.5,10.3,142.8
2022-05-10,3.8,80.3,13.9,31.3
2022-05-11,8,51.4,8.3,221.4
2022-05-12,9,38.5,14,187.9
2022-05-13,7.9,47.9,13.1,226.2
2022-05-14,10.3,35.4,14.7,318.7
2022-05-15,12.6,33.2,8.4,186.2
2022-05-16,15.1,37,16.7,267.3
2022-05-17,9.2,61.2,16.5,13.3
2022-05-18,8.5,56.2,19.7,224.6
2022-05-19,4.4,76,36.4,342.4
2022-05-20,4.7,65,26.4,351.7
2022-05-21,5.7,46.5,11.8,45.3
2022-05-22,9.5,37.5,9.4,278.4
2022-05-23,12.6,31.1,10.9,268.9
2022-05-24,13,38.5,13.5,324.2
2022-05-25,14.3,33.6,15,284.8
2022-05-26,14.8,30.3,10.2,296.8
2022-05-27,15.6,36.8,15.5,262.8
2022-05-28,14.2,28,10.9,341.6
2022-05-29,11.8,42,23.4,4.4
2022-05-30,9.8,57.5,27.5,357.4
2022-05-31,11.3,37.5,6.6,28.4
2022-06-01,13.9,29.8,8.3,353.9
2022-06-02,13.7,35.1,12,162
2022-06-03,15.9,29.6,19.8,178.9
2022-06-04,14.9,61.3,15.5,157
2022-06-05,11.4,88.2,16.7,84.1
2022-06-06,11.5,84.8,13.9,352.8
2022-06-07,12,72.8,15.9,76.7
2022-06-08,14.9,53.2,16.9,218
2022-06-09,16.5,41.8,12.9,269
2022-06-10,18.7,32.3,20.6,283.5
2022-06-11,16.9,42.9,12.4,322.6
2022-06-12,13.1,62.6,13.9,18.1
2022-06-13,10.6,84,18.4,352.2
2022-06-14,9.4,87.8,40.7,336.9
2022-06-15,12.2,71,39.6,333
2022-06-16,14.4,64,14.4,156.5
2022-06-17,16.1,78.1,12.3,43.7
2022-06-18,15.6,77.4,11.1,20.9
2022-06-19,14.7,71.4,12.3,359.3
2022-06-20,14.1,64.2,17.6,345.4
2022-06-21,16.8,51.5,8.7,226.4
2022-06-22,18.4,48.1,16.8,270.3
2022-06-23,10.6,75,19.8,2.4
2022-06-24,10.3,69.1,29.8,346.2
2022-06-25,13.8,51.5,11.9,249
2022-06-26,17.4,41.8,8.4,105.8
2022-06-27,17.9,51.8,9.4,76.4
2022-06-28,16.6,74.1,17.4,126
2022-06-29,13.6,69.2,12.2,345.1
2022-06-30,16,56.2,13.6,352.9
2022-07-01,16.6,62.6,10.9,311.8
2022-07-02,12.9,83.5,9.8,34.8
2022-07-03,12,80.3,7.8,75.6
2022-07-04,12.1,90.9,11.4,41.4
2022-07-05,15.2,69.9,10.4,314.1
2022-07-06,13.1,84.1,10.1,68.2
2022-07-07,17.9,76,15.6,151.6
2022-07-08,19.4,53.1,8.1,359.1
2022-07-09,19.6,43.1,14.8,117.6
2022-07-10,18.7,41.8,13.9,289.3
2022-07-11,20.3,43.8,13.3,159.9
2022-07-12,23.5,38.2,16.9,196
2022-07-13,18.6,57.2,14.6,55.7
2022-07-14,19.8,57.5,14.7,139.9
2022-07-15,23.1,38.2,10.3,352.5
2022-07-16,22.2,50,15.7,39
2022-07-17,19.1,60.8,15.6,56.8
2022-07-18,16.4,73.5,14.4,176.9
2022-07-19,22,41.2,17.3,296.3
2022-07-20,18.7,54.9,12.3,144.2
2022-07-21,21.3,51,12.4,8.8
2022-07-22,16.7,68.6,15.1,351.1
2022-07-23,18.6,65.8,11.8,168.9
2022-07-24,20.6,59,11.9,28.6
2022-07-25,17,71.7,10.6,13.7
2022-07-26,18.7,63.3,7.7,33.4
2022-07-27,21.4,59.3,11.6,137.5
2022-07-28,22.9,57,16.5,163.4
2022-07-29,23.1,56.8,9.3,29.5
2022-07-30,20.4,60.7,10.1,320
2022-07-31,21,68.1,12.5,55.8
2022-08-01,21.5,66.2,18.8,96.2
2022-08-02,18.3,54.6,14.8,47.6
2022-08-03,19.4,56.2,11.7,210.9
2022-08-04,15.2,73.7,15.5,338.6
2022-08-05,13.5,55.5,22.1,346.1
2022-08-06,17.5,45.2,15.1,172.1
2022-08-07,22.4,36.3,12,280.2
